journey_id,event_type,event_time,ad_product,format,placement,creative,interaction_type,marketplace,advertiser_id,users,converted_users,purchase_count,revenue,new_to_brand_purchases
cohort_011,TOUCHPOINT,2026-01-29T10:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,VIDEO,IMPRESSION,,,,,,,
cohort_011,TOUCHPOINT,2026-01-30T11:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,IMPRESSION,,,,,,,
cohort_011,CONVERSION,2026-01-31T18:00:00Z,,,,,,US,adv_demo_001,15,8,8,567.00,3
cohort_012,TOUCHPOINT,2026-02-07T09:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,VIDEO,IMPRESSION,,,,,,,
cohort_012,TOUCHPOINT,2026-02-08T10:00:00Z,SPONSORED_DISPLAY,VIDEO,PRODUCT_PAGE,VIDEO,CLICK,,,,,,,
cohort_012,TOUCHPOINT,2026-02-09T11:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,CLICK,,,,,,,
cohort_012,TOUCHPOINT,2026-02-10T12:00:00Z,AMAZON_DSP,STREAMING_TV,,VIDEO,IMPRESSION,,,,,,,
cohort_012,CONVERSION,2026-02-11T18:00:00Z,,,,,,US,adv_demo_001,16,10,11,1452.00,2
cohort_013,TOUCHPOINT,2026-02-20T09:00:00Z,SPONSORED_DISPLAY,VIDEO,PRODUCT_PAGE,VIDEO,CLICK,,,,,,,
cohort_013,TOUCHPOINT,2026-02-21T10:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,PRODUCT_PAGE,,CLICK,,,,,,,
cohort_013,CONVERSION,2026-02-22T18:00:00Z,,,,,,US,adv_demo_001,17,5,6,402.90,2
cohort_014,TOUCHPOINT,2026-03-02T09:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,PRODUCT_PAGE,,CLICK,,,,,,,
cohort_014,TOUCHPOINT,2026-03-03T10:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,REST_OF_SEARCH,,CLICK,,,,,,,
cohort_014,TOUCHPOINT,2026-03-04T11:00:00Z,AMAZON_DSP,DISPLAY,,IMAGE,IMPRESSION,,,,,,,
cohort_014,CONVERSION,2026-03-05T18:00:00Z,,,,,,US,adv_demo_001,18,7,7,753.38,1
cohort_015,TOUCHPOINT,2026-03-12T09:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,REST_OF_SEARCH,,CLICK,,,,,,,
cohort_015,TOUCHPOINT,2026-03-13T10:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,IMPRESSION,,,,,,,
cohort_015,TOUCHPOINT,2026-03-14T11:00:00Z,AMAZON_DSP,ONLINE_VIDEO,,VIDEO,IMPRESSION,,,,,,,
cohort_015,TOUCHPOINT,2026-03-15T12:00:00Z,SPONSORED_BRANDS,DISPLAY,REST_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_015,CONVERSION,2026-03-16T18:00:00Z,,,,,,US,adv_demo_001,12,6,7,545.10,2
cohort_016,TOUCHPOINT,2026-03-25T09:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,IMPRESSION,,,,,,,
cohort_016,TOUCHPOINT,2026-03-26T10:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,CLICK,,,,,,,
cohort_016,CONVERSION,2026-03-27T18:00:00Z,,,,,,US,adv_demo_001,13,8,8,590.40,2
cohort_017,TOUCHPOINT,2026-01-09T09:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,CLICK,,,,,,,
cohort_017,TOUCHPOINT,2026-01-10T10:00:00Z,AMAZON_DSP,AUDIO,,,IMPRESSION,,,,,,,
cohort_017,TOUCHPOINT,2026-01-11T11:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_017,CONVERSION,2026-01-12T18:00:00Z,,,,,,US,adv_demo_001,14,4,5,393.60,1
cohort_018,TOUCHPOINT,2026-01-19T09:00:00Z,AMAZON_DSP,AUDIO,,,IMPRESSION,,,,,,,
cohort_018,TOUCHPOINT,2026-01-20T10:00:00Z,AMAZON_DSP,ONLINE_VIDEO,,VIDEO,IMPRESSION,,,,,,,
cohort_018,TOUCHPOINT,2026-01-21T11:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,IMPRESSION,,,,,,,
cohort_018,TOUCHPOINT,2026-01-22T12:00:00Z,SPONSORED_DISPLAY,VIDEO,PRODUCT_PAGE,VIDEO,CLICK,,,,,,,
cohort_018,CONVERSION,2026-01-23T18:00:00Z,,,,,,US,adv_demo_001,15,6,7,607.20,2
cohort_019,TOUCHPOINT,2026-02-01T09:00:00Z,AMAZON_DSP,DISPLAY,,IMAGE,IMPRESSION,,,,,,,
cohort_019,TOUCHPOINT,2026-02-02T10:00:00Z,AMAZON_DSP,STREAMING_TV,,VIDEO,IMPRESSION,,,,,,,
cohort_019,CONVERSION,2026-02-03T18:00:00Z,,,,,,US,adv_demo_001,16,8,9,1161.60,2
cohort_020,TOUCHPOINT,2026-02-11T09:00:00Z,AMAZON_DSP,ONLINE_VIDEO,,VIDEO,IMPRESSION,,,,,,,
cohort_020,TOUCHPOINT,2026-02-12T10:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_020,TOUCHPOINT,2026-02-13T11:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,IMPRESSION,,,,,,,
cohort_020,CONVERSION,2026-02-14T18:00:00Z,,,,,,US,adv_demo_001,17,10,11,822.70,3
cohort_021,TOUCHPOINT,2026-02-21T09:00:00Z,AMAZON_DSP,STREAMING_TV,,VIDEO,IMPRESSION,,,,,,,
cohort_021,TOUCHPOINT,2026-02-22T10:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,CLICK,,,,,,,
cohort_021,TOUCHPOINT,2026-02-23T11:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,CLICK,,,,,,,
cohort_021,TOUCHPOINT,2026-02-24T12:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,IMPRESSION,,,,,,,
cohort_021,CONVERSION,2026-02-25T18:00:00Z,,,,,,US,adv_demo_001,18,6,7,496.80,2
cohort_022,TOUCHPOINT,2026-03-06T09:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_022,TOUCHPOINT,2026-03-07T10:00:00Z,SPONSORED_BRANDS,DISPLAY,REST_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_022,CONVERSION,2026-03-08T18:00:00Z,,,,,,US,adv_demo_001,12,6,6,474.00,2
cohort_023,TOUCHPOINT,2026-03-16T09:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,CLICK,,,,,,,
cohort_023,TOUCHPOINT,2026-03-17T10:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,IMPRESSION,,,,,,,
cohort_023,TOUCHPOINT,2026-03-18T11:00:00Z,SPONSORED_DISPLAY,VIDEO,PRODUCT_PAGE,VIDEO,CLICK,,,,,,,
cohort_023,CONVERSION,2026-03-19T18:00:00Z,,,,,,US,adv_demo_001,13,7,8,710.60,1
cohort_024,TOUCHPOINT,2026-03-26T09:00:00Z,SPONSORED_BRANDS,DISPLAY,REST_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_024,TOUCHPOINT,2026-03-27T10:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,CLICK,,,,,,,
cohort_024,TOUCHPOINT,2026-03-28T11:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,PRODUCT_PAGE,,CLICK,,,,,,,
cohort_024,TOUCHPOINT,2026-03-29T12:00:00Z,AMAZON_DSP,DISPLAY,,IMAGE,IMPRESSION,,,,,,,
cohort_024,CONVERSION,2026-03-30T18:00:00Z,,,,,,US,adv_demo_001,14,8,9,942.37,3
cohort_025,TOUCHPOINT,2026-01-13T09:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,IMPRESSION,,,,,,,
cohort_025,TOUCHPOINT,2026-01-14T10:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,IMPRESSION,,,,,,,
cohort_025,CONVERSION,2026-01-15T18:00:00Z,,,,,,US,adv_demo_001,15,5,5,380.00,2
cohort_026,TOUCHPOINT,2026-01-23T09:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,CLICK,,,,,,,
cohort_026,TOUCHPOINT,2026-01-24T10:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,CLICK,,,,,,,
cohort_026,TOUCHPOINT,2026-01-25T11:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,IMPRESSION,,,,,,,
cohort_026,CONVERSION,2026-01-26T18:00:00Z,,,,,,US,adv_demo_001,16,7,8,565.20,2
cohort_027,TOUCHPOINT,2026-02-02T09:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,IMPRESSION,,,,,,,
cohort_027,TOUCHPOINT,2026-02-03T10:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,VIDEO,IMPRESSION,,,,,,,
cohort_027,TOUCHPOINT,2026-02-04T11:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,CLICK,,,,,,,
cohort_027,TOUCHPOINT,2026-02-05T12:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_027,CONVERSION,2026-02-06T18:00:00Z,,,,,,US,adv_demo_001,17,8,8,668.30,2
cohort_028,TOUCHPOINT,2026-02-15T09:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,CLICK,,,,,,,
cohort_028,TOUCHPOINT,2026-02-16T10:00:00Z,SPONSORED_DISPLAY,VIDEO,PRODUCT_PAGE,VIDEO,CLICK,,,,,,,
cohort_028,CONVERSION,2026-02-17T18:00:00Z,,,,,,US,adv_demo_001,18,11,13,1119.80,3
cohort_029,TOUCHPOINT,2026-02-25T09:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,VIDEO,IMPRESSION,,,,,,,
cohort_029,TOUCHPOINT,2026-02-26T10:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,PRODUCT_PAGE,,CLICK,,,,,,,
cohort_029,TOUCHPOINT,2026-02-27T11:00:00Z,AMAZON_DSP,DISPLAY,,IMAGE,IMPRESSION,,,,,,,
cohort_029,CONVERSION,2026-02-28T18:00:00Z,,,,,,US,adv_demo_001,12,4,5,498.75,2
cohort_030,TOUCHPOINT,2026-03-07T09:00:00Z,SPONSORED_DISPLAY,VIDEO,PRODUCT_PAGE,VIDEO,CLICK,,,,,,,
cohort_030,TOUCHPOINT,2026-03-08T10:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,REST_OF_SEARCH,,CLICK,,,,,,,
cohort_030,TOUCHPOINT,2026-03-09T11:00:00Z,AMAZON_DSP,ONLINE_VIDEO,,VIDEO,IMPRESSION,,,,,,,
cohort_030,TOUCHPOINT,2026-03-10T12:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,IMPRESSION,,,,,,,
cohort_030,CONVERSION,2026-03-11T18:00:00Z,,,,,,US,adv_demo_001,13,5,5,452.72,0
cohort_031,TOUCHPOINT,2026-03-20T09:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,PRODUCT_PAGE,,CLICK,,,,,,,
cohort_031,TOUCHPOINT,2026-03-21T10:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,IMPRESSION,,,,,,,
cohort_031,CONVERSION,2026-03-22T18:00:00Z,,,,,,US,adv_demo_001,14,8,9,644.40,3
cohort_032,TOUCHPOINT,2026-01-04T09:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,REST_OF_SEARCH,,CLICK,,,,,,,
cohort_032,TOUCHPOINT,2026-01-05T10:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,CLICK,,,,,,,
cohort_032,TOUCHPOINT,2026-01-06T11:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_032,CONVERSION,2026-01-07T18:00:00Z,,,,,,US,adv_demo_001,15,10,11,906.10,2
cohort_033,TOUCHPOINT,2026-01-14T09:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,IMPRESSION,,,,,,,
cohort_033,TOUCHPOINT,2026-01-15T10:00:00Z,AMAZON_DSP,AUDIO,,,IMPRESSION,,,,,,,
cohort_033,TOUCHPOINT,2026-01-16T11:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,CLICK,,,,,,,
cohort_033,TOUCHPOINT,2026-01-17T12:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,CLICK,,,,,,,
cohort_033,CONVERSION,2026-01-18T18:00:00Z,,,,,,US,adv_demo_001,16,5,5,383.80,2
cohort_034,TOUCHPOINT,2026-01-27T09:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,CLICK,,,,,,,
cohort_034,TOUCHPOINT,2026-01-28T10:00:00Z,AMAZON_DSP,DISPLAY,,IMAGE,IMPRESSION,,,,,,,
cohort_034,CONVERSION,2026-01-29T18:00:00Z,,,,,,US,adv_demo_001,17,7,9,908.25,1
cohort_035,TOUCHPOINT,2026-02-06T09:00:00Z,AMAZON_DSP,AUDIO,,,IMPRESSION,,,,,,,
cohort_035,TOUCHPOINT,2026-02-07T10:00:00Z,AMAZON_DSP,STREAMING_TV,,VIDEO,IMPRESSION,,,,,,,
cohort_035,TOUCHPOINT,2026-02-08T11:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,IMPRESSION,,,,,,,
cohort_035,CONVERSION,2026-02-09T18:00:00Z,,,,,,US,adv_demo_001,18,10,10,765.70,3
cohort_036,TOUCHPOINT,2026-02-16T09:00:00Z,AMAZON_DSP,DISPLAY,,IMAGE,IMPRESSION,,,,,,,
cohort_036,TOUCHPOINT,2026-02-17T10:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_036,TOUCHPOINT,2026-02-18T11:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,CLICK,,,,,,,
cohort_036,TOUCHPOINT,2026-02-19T12:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,CLICK,,,,,,,
cohort_036,CONVERSION,2026-02-20T18:00:00Z,,,,,,US,adv_demo_001,12,8,10,700.20,2
cohort_037,TOUCHPOINT,2026-03-01T09:00:00Z,AMAZON_DSP,ONLINE_VIDEO,,VIDEO,IMPRESSION,,,,,,,
cohort_037,TOUCHPOINT,2026-03-02T10:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,CLICK,,,,,,,
cohort_037,CONVERSION,2026-03-03T18:00:00Z,,,,,,US,adv_demo_001,13,4,5,391.55,1
cohort_038,TOUCHPOINT,2026-03-11T09:00:00Z,AMAZON_DSP,STREAMING_TV,,VIDEO,IMPRESSION,,,,,,,
cohort_038,TOUCHPOINT,2026-03-12T10:00:00Z,SPONSORED_BRANDS,DISPLAY,REST_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_038,TOUCHPOINT,2026-03-13T11:00:00Z,SPONSORED_DISPLAY,VIDEO,PRODUCT_PAGE,VIDEO,CLICK,,,,,,,
cohort_038,CONVERSION,2026-03-14T18:00:00Z,,,,,,US,adv_demo_001,14,6,6,534.60,2
cohort_039,TOUCHPOINT,2026-03-21T09:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_039,TOUCHPOINT,2026-03-22T10:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,IMPRESSION,,,,,,,
cohort_039,TOUCHPOINT,2026-03-23T11:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,PRODUCT_PAGE,,CLICK,,,,,,,
cohort_039,TOUCHPOINT,2026-03-24T12:00:00Z,AMAZON_DSP,ONLINE_VIDEO,,VIDEO,IMPRESSION,,,,,,,
cohort_039,CONVERSION,2026-03-25T18:00:00Z,,,,,,US,adv_demo_001,15,8,9,1032.50,2
cohort_040,TOUCHPOINT,2026-01-08T09:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,CLICK,,,,,,,
cohort_040,TOUCHPOINT,2026-01-09T10:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,CLICK,,,,,,,
cohort_040,CONVERSION,2026-01-10T18:00:00Z,,,,,,US,adv_demo_001,16,10,11,1010.10,3
cohort_041,TOUCHPOINT,2026-01-18T09:00:00Z,SPONSORED_BRANDS,DISPLAY,REST_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_041,TOUCHPOINT,2026-01-19T10:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,IMPRESSION,,,,,,,
cohort_041,TOUCHPOINT,2026-01-20T11:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,IMPRESSION,,,,,,,
cohort_041,CONVERSION,2026-01-21T18:00:00Z,,,,,,US,adv_demo_001,17,6,6,437.40,2
cohort_042,TOUCHPOINT,2026-01-28T09:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,IMPRESSION,,,,,,,
cohort_042,TOUCHPOINT,2026-01-29T10:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,CLICK,,,,,,,
cohort_042,TOUCHPOINT,2026-01-30T11:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,CLICK,,,,,,,
cohort_042,TOUCHPOINT,2026-01-31T12:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,CLICK,,,,,,,
cohort_042,CONVERSION,2026-02-01T18:00:00Z,,,,,,US,adv_demo_001,18,8,9,729.80,2
cohort_043,TOUCHPOINT,2026-02-10T09:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,CLICK,,,,,,,
cohort_043,TOUCHPOINT,2026-02-11T10:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,VIDEO,IMPRESSION,,,,,,,
cohort_043,CONVERSION,2026-02-12T18:00:00Z,,,,,,US,adv_demo_001,12,6,6,518.70,1
cohort_044,TOUCHPOINT,2026-02-20T09:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,IMPRESSION,,,,,,,
cohort_044,TOUCHPOINT,2026-02-21T10:00:00Z,SPONSORED_DISPLAY,VIDEO,PRODUCT_PAGE,VIDEO,CLICK,,,,,,,
cohort_044,TOUCHPOINT,2026-02-22T11:00:00Z,AMAZON_DSP,DISPLAY,,IMAGE,IMPRESSION,,,,,,,
cohort_044,CONVERSION,2026-02-23T18:00:00Z,,,,,,US,adv_demo_001,13,7,8,813.75,2
cohort_045,TOUCHPOINT,2026-03-02T09:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,CLICK,,,,,,,
cohort_045,TOUCHPOINT,2026-03-03T10:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,PRODUCT_PAGE,,CLICK,,,,,,,
cohort_045,TOUCHPOINT,2026-03-04T11:00:00Z,AMAZON_DSP,ONLINE_VIDEO,,VIDEO,IMPRESSION,,,,,,,
cohort_045,TOUCHPOINT,2026-03-05T12:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,CLICK,,,,,,,
cohort_045,CONVERSION,2026-03-06T18:00:00Z,,,,,,US,adv_demo_001,14,4,5,448.18,2
cohort_046,TOUCHPOINT,2026-03-15T09:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,VIDEO,IMPRESSION,,,,,,,
cohort_046,TOUCHPOINT,2026-03-16T10:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,REST_OF_SEARCH,,CLICK,,,,,,,
cohort_046,CONVERSION,2026-03-17T18:00:00Z,,,,,,US,adv_demo_001,15,6,6,391.61,1
cohort_047,TOUCHPOINT,2026-03-25T09:00:00Z,SPONSORED_DISPLAY,VIDEO,PRODUCT_PAGE,VIDEO,CLICK,,,,,,,
cohort_047,TOUCHPOINT,2026-03-26T10:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,IMPRESSION,,,,,,,
cohort_047,TOUCHPOINT,2026-03-27T11:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_047,CONVERSION,2026-03-28T18:00:00Z,,,,,,US,adv_demo_001,16,7,8,647.80,2
