touchpoint,outcome,markov_share,shapley_share,gap_pp,relative_gap,raw_unique_paths,raw_converted_users,raw_purchase_count,calculation_valid,data_support_sufficient,models_consistent,reliability_status,reliability_reason
SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK,purchase_count,0.065033,0.067123,0.209,0.031629287,25,177,199,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,purchase_count,0.054248,0.054334,0.0086,0.001584056,26,150,166,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,purchase_count,0.051961,0.050179,0.1782,0.034893284,23,145,159,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,purchase_count,0.071569,0.070544,0.1025,0.014425141,27,195,219,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION,purchase_count,0.064052,0.065005,0.0953,0.014768668,27,177,196,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,revenue,0.042955,0.044672,0.1717,0.039188834,21,119,134,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,revenue,0.061286,0.066603,0.5317,0.083150232,25,150,167,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,revenue,0.073416,0.068516,0.49,0.069047149,28,190,210,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,revenue,0.063289,0.062917,0.0372,0.005895124,21,156,173,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,revenue,0.053486,0.051853,0.1633,0.031004661,26,157,177,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:IMPRESSION,revenue,0.05893,0.06267,0.374,0.061513158,27,173,191,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:DISPLAY:REST_OF_SEARCH:IMAGE:IMPRESSION,revenue,0.048081,0.046811,0.127,0.026767272,22,137,151,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:CLICK,revenue,0.068238,0.064439,0.3799,0.057266896,26,185,207,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:IMPRESSION,revenue,0.064275,0.068938,0.4663,0.070008182,27,172,191,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:CLICK,revenue,0.056383,0.057699,0.1316,0.023071124,26,171,187,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:IMPRESSION,revenue,0.045453,0.046598,0.1145,0.024877514,22,134,147,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:VIDEO:IMPRESSION,revenue,0.06331,0.058109,0.5201,0.085670282,25,168,186,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK,revenue,0.065978,0.068063,0.2085,0.031109884,25,177,199,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,revenue,0.054954,0.053786,0.1168,0.021482435,26,150,166,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,revenue,0.050064,0.049064,0.1,0.020175934,23,145,159,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,revenue,0.069381,0.068139,0.1242,0.018062827,27,195,219,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION,revenue,0.060521,0.061123,0.0602,0.009897734,27,177,196,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
