touchpoint,outcome,markov_share,shapley_share,gap_pp,relative_gap,raw_unique_paths,raw_converted_users,raw_purchase_count,calculation_valid,data_support_sufficient,models_consistent,reliability_status,reliability_reason
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:IMPRESSION,revenue,0.055626,0.054285,0.1341,0.024401561,20,468,587,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:DISPLAY:REST_OF_SEARCH:IMAGE:IMPRESSION,revenue,0.057725,0.057431,0.0294,0.005106117,21,494,606,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:CLICK,revenue,0.058848,0.062157,0.3309,0.054691955,21,477,609,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:IMPRESSION,revenue,0.060259,0.062384,0.2125,0.034653425,21,485,623,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:CLICK,revenue,0.062355,0.061201,0.1154,0.018679789,23,524,654,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:IMPRESSION,revenue,0.056794,0.055701,0.1093,0.019431975,20,483,596,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:VIDEO:IMPRESSION,revenue,0.059325,0.060861,0.1536,0.025560381,21,490,619,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK,revenue,0.058104,0.05981,0.1706,0.028936343,21,474,609,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,revenue,0.06082,0.058283,0.2537,0.042601782,22,511,634,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,revenue,0.059951,0.057122,0.2829,0.04832882,21,489,624,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,revenue,0.057071,0.057379,0.0308,0.005382263,21,480,598,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION,revenue,0.05448,0.056927,0.2447,0.043929017,20,436,565,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
